Posts content,Likes
"The India vs England set a world record with 65.2M concurrent viewers on JioHotstar— Remarkably, 9 of the 10 biggest concurrent live streams in history have been cricket events on JioHotstar—a powerful signal of India’s love for cricket and the technical expertise of the JioHotstar team. 🏏📺🇮🇳

The semi-final delivered 620M views and 10.1B minutes of watch time, 1 in 3 Indians tuned in for this match - that is more than the populations of Spain, Argentina, Australia and Canada watching together 🤓

ICC MEN’S T20 WORLD CUP 2026 SETS NEW GLOBAL STREAMING RECORD ON JIOHOTSTAR DURING INDIA–ENGLAND SEMI-FINAL | ICC https://lnkd.in/d-CF8Hxc",981
"If you chase the trendy thing, you should expect to produce the average outcome in that field as many other folks (by definition) are attempting to do the same.

In order to have a shot at something that could be labelled an outlier in retrospect, you have to be willing to do chase own weird little passion for years that makes no sense to the outside world.

Being weird is no guarantee of outlier success but it’s a necessary condition for it.",189
"If you’ve ever opened the District app to find a table, discovered a new restaurant to try, stalked a menu at midnight, or paid seamlessly at a restaurant — you already know what Dining Out is all about. 🍽️

Dining Out is one of Eternal’s fastest-growing products, and we’re expanding the team behind it. 

Scaling fast means constantly running into interesting problems with no ready-made playbook. Which is exactly why we’re looking for sharp, curious & passionate people across [Sales, Product, Analytics, Engineering, and Generalist roles] to help build what comes next. 

We’re hiring across seniority levels — where the experience in your work matters more than the years on your résumé.

A small heads-up: some parts of this work are an acquired taste. Things move fast, plans change, and ambiguity is often part of the brief. If you enjoy navigating the unknown, adapting quickly, and figuring things out as you go, you’ll feel right at home.

We’re at the stage where the right people don’t just fill roles — they define them.

Come help build something people actually look forward to using. 🍽️
Write to us at: districthiring@eternal.com",150
"Is Cred Garage building another credit score?


All of us have seen pictures of those fancy cars outside the Cred office recently. The curiosity generation was real and once Cred Garage was out, I had to give it a try.

Here are 2 things that, I feel, can really do wonders for Cred if this takes off 👇🏻

👉🏻 The obvious: Auto insurance
Once you enter your vehicle number, all details are automatically fetched by the app. Cred then knows how old your car is, how many challans are pending against it, and a lot more. This gives them enough data to suggest and sell ‘handpicked’ insurance policies to you.

The business here? Apart from a commission, Cred can also potentially charge insurance companies to get listed on the app and to show up on top!

But here’s what’s more interesting 👇🏻

👉🏻 Auto credit score
Since Cred would have collected so much data about your vehicle in the form of pending challans, repairs, insurance, etc. They would have enough data to form a credit score against your vehicle’s health!

Think of a vehicle as a credit card. A missed payment affects your credit score, right? A challan on the car can potentially affect your auto credit score!

And it’s not just based on superficial data. Cred might get access to meaningful financial data such as your refuelling history, details of your insurance policy, car repair history, service frequency and so much more!

Needless to say, they’ll also know the price of the car you own!

For those who don’t have a credit score or have a low credit score, this can be an excellent alternative. If Cred nails it right, it can potentially build a great business just out of this one model!",1195
"My unfortunate read on Indian ambition is that it's just preparation for ambition, and we've lost the ability to tell the difference.

Like the credential was supposed to be the door, right? You get a credential and then you use it. But imo it has become the house and now everyone's just redecorating every few years with NO idea what they actually want their home to look like.

The sequence is: get the degree, get the job, get the credibility, THEN take the risk. Except the credibility threshold keeps moving and by the time you've cleared it you have EMIs and your parents finally stopped worrying and the risk feels a lot more scary than it did at 22.

So you don't do it. You become a mentor instead and point someone younger at the same treadmill. 

What's incredibly telling is what we do with people who just...started without waiting for permission. We don't celebrate them, we absorb them. Guest lectures. Fellowships. Honorary titles. The institution needs to stamp you before it can admit you were right.

Anyway what I'm actually saying is: credentials are a way of not finding out if you're good. Every new credential is another year before the terrifying question of if you're actually good needs a real answer. Completely rational if you're trying to stay undefeated in a game you never quite enter.

We're a country that worships risk-takers and systematically raises risk-avoiders and then acts confused when the builders don't come from the pipeline. Kind of insane, I think.",250
"More companies could take a page from Buffer’s playbook. 

I’ve been watching how Buffer reshapes company branding, not by controlling the narrative, but by amplifying it.

They regularly repost their employees’ LinkedIn content.
Proudly. Publicly. Authentically.

It’s a simple act - but a powerful one.

Their company page becomes a window into the real people behind the brand.
It builds trust externally. And loyalty internally.

And it works.

Content shared by employees gets 8x more engagement than content shared by brand channels. (LinkedIn Business)

Why? Because people trust people more than logos.
And Buffer leans into that.

They empower their team to show up and back them by resharing their wins, ideas, and insights.

This is employee advocacy done right.
✅ It boosts reach.
✅ It builds credibility.
✅ It attracts talent who want to work there.

If you’re leading a brand, consider this:
•⁠ Encourage your team to share what they’re working on
•⁠ Make it easy - offer tips, templates, support
•⁠ Repost their content on your company page
•⁠ Celebrate voices, not just results

When employees feel seen, they show up.
And when they show up, your brand wins.

Shoutout to Buffer for leading by example.

💼 I’m Lara. I help brands and teams create marketing strategies that deliver results.
🎤 Digital marketing specialist | Balancing motherhood and marketing | Passionate about helping others succeed!
🔗 Connect with me",40
"As someone who's spent hours mastering Premiere Pro, I understand the demands of video editing. 

That’s why I was intrigued when I tried VEED, a web-based editor. Can it really streamline my workflow without sacrificing quality? 

After testing it, Veed.io impressed me with its fast, intuitive editing, AI tools for removing silences and background noise, and even auto subtitles and voiceovers! 

In the article, I discuss what sets it apart, its best use cases, and how it compares to other top editors like Pictory, Synthesys, and Deepbrain AI.

If you’re looking for a powerful yet simple solution to create professional videos, Veed.io might be your answer!",44
"While developing my brands hashtag#bobabam, hashtag#legendaryboba, hashtag#mochooey, hashtag#simplebliss, I wanted to take on a few side projects. 
This week, I’m diving headfirst into AI-generated video content using Veo 3 and Midjourney, inspired by the fully AI-generated hashtag#LiquidDeath ad. Why? Because high-quality, fast, low-lift, solo-run content creation is the future—and I'm here for it.
I wrote a short film I wrote years ago called “Itadakimasu” (available on Amazon Kindle). It’s been sitting in the vault—until now. My goal this week: transform it into an anime-style video using Veo 3.
Here’s how I’m approaching it:
Use AI for script breakdown and JSON structuring (yes, JSON—more on that in a sec).
Import scenes into Veo 3 to produce the video.
Keep the entire project under 6 hours (plus polish).
Learn by doing—and document everything.
I stumbled on a thread showing people using JSON + Midjourney + Premiere Pro agents, and it clicked: JSON isn’t just for devs—it’s a logic system for automating video creation. That led me to experiment with converting the Breaking Bad pilot into JSON as a test. Next up: mine.
And yes, I will be sharing my full process—good, bad, or glitchy—so others can try this for their own projects. This isn't just about content. It's about systemizing creativity.
One lesson I’m applying: have clear goals and metrics. No more aimless posting. If it doesn’t move the needle or teach me something valuable, I’m not doing it.
I’ll post updates along the way, and a wrap-up at the end of the week. Wish me luck.
PS: If you’re also building AI-first content workflows, I’d love to connect. Let’s swap notes.",23
"🚀 𝗧𝗼𝗼𝗸 𝗩𝗘𝗘𝗗 𝗳𝗼𝗿 𝗮 𝘁𝗲𝘀𝘁 𝗱𝗿𝗶𝘃𝗲 𝘁𝗼𝗱𝗮𝘆!
I used an image I created in Freepik to test out VEED’s lip sync functionality — and I’ve got to say, while there’s a small learning curve, the tools are fairly intuitive once you get into the flow.

🎯 Why VEED? I was curious about its AI-driven lip sync capabilities — and here’s the result. Meet George! 👄🗣️

More experiments coming soon…",12
"VEO 3 is DEAD.

VEED Fabric 1.0 just came in and can create FULL 1 Minute UGC Videos for eCom...

Here's my full breakdown & review + pricing.

Comment ""Guide"" & I'll help you automate this for your business.",22
"GenAI Video Show and Tell: Three takeaways in my creative experiments with Midjourney and VEO 3

I stitched together a variety of video b-roll shots across different visual styles—all generated through Midjourney or VEO 3. Right now I'm in the process of discovering how to 'go with the grain' of these tools. I'm thinking about what styles or types of movement work well. 

3 Takeaways: 
1) Each tool has a sweet spot for movement and style. Fight against it and you get cringey Frankensteined output. 

2) Image-to-video gives you more more control than pure text prompts. Starting with a solid still frame is a more predictable creative process.
(VEO3 has that capability now as well)

3) Key use cases: b-roll inserts, concept visualization/mood exploration (as opposed to full video solution). Have you found other helpful use cases?",43
"🚨 Google Veo 3 Stormtrooper Vlogger videos are STILL breaking the internet.

But most creators are missing the plot :
You don’t need a $250/month plan to generate Veo3 videos.

I recreated the viral “Stormtrooper Vlogger” video using Freepik’s AI video tool starting from as little as $17.15 a month.

No editing, no fancy gear.
Just visuals, camera motion, and cinematic styles… generated in minutes.

And in this post I will show you exactly how to do it.

→ To generate Google Veo 3 videos with the BEST results and the lowest cost Freepik is the move.
Link to access Freepik: https://lnkd.in/gs7upqys? 

→ Now all you have to do is head over to ChatGPT or Gemini AI to generate a detailed prompt.

→ Go to Freepik and open the Google Veo3 section.

→ Paste your prompt, hit Generate, and voilà, your vlog is ready!

Zero filming. Zero editing. 100% AI-powered. 🎬✨

✔️ I just published a full YouTube tutorial that walks you through how to create Google Veo3 videos step by step.

✔️ Included is the Ultimate Google Veo3 Prompt Guide with over 10 detailed examples you can use right away.

✔️ All links will be shared below. 

Follow Sebastien Jefferies for more tech & AI insights.",54
